Settlement,Longitude,Latitude
Kunágota,46.429254549999996,21.033833228784175
Lőkösháza,46.4358048,21.255786105382676
Magyarbánhegyes,46.45481735,20.962519978805773
Magyardombegyház,46.37836815,21.079592275638667
Medgyesbodzás,46.52998475,20.944320871345774
Medgyesegyháza,46.5079578,21.046973189788527
Méhkerék,46.7800898,21.465255327938713
Mezőberény,46.85496155,21.07983842194912
Mezőgyán,46.855407400000004,21.46887535946056
Mezőhegyes,46.3333361,20.843989775530808
Mezőkovácsháza,46.4011736,20.928772219135432
Murony,46.75865145,21.03489591644411
Nagybánhegyes,46.4694431,20.9068524358103
Nagykamarás,46.461585549999995,21.1470070802715
Nagyszénás,46.69881825,20.667218667551765
Okány,46.8975103,21.3494563
Örménykút,46.833563749999996,20.753266515667246
Orosháza,46.5603339,20.6693477
Pusztaföldvár,46.5214639,20.809909156004007
Pusztaottlaka,46.5434346,21.027738906142734
Sarkad,46.77093655,21.362852702967878
Sarkadkeresztúr,46.828935,21.409124684374667
Szabadkígyós,46.60112925,21.099964406725675
Szarvas,46.8621434,20.5521466
Szeghalom,47.03269095,21.125950428768654
Tarhos,46.80918135,21.250725894200485
Telekgerendás,46.65255315,20.937645431809237
Tótkomlós,46.423912650000005,20.750984424568838
Újkígyós,46.584033950000006,21.018363162540787
Újszalonta,46.8123742,21.488466133887467
Végegyháza,46.39250295,20.860884642755707
Vésztő,46.9099536,21.251228834720465
Zsadány,46.91852005,21.45761004051304
Abaújalpár,48.3040188,21.262360874829177
Abaújkér,48.31471705,21.19551338170729
Abaújlak,48.405819,20.957929143495228
Abaújszántó,48.26943025,21.208900156694032
Abaújszolnok,48.3783881,20.982419962337318
Abaújvár,48.5279495,21.317323190214996
Abod,48.398197999999994,20.81232684954955
Aggtelek,48.492143999999996,20.517418033672172
Alacska,48.22322285,20.64432571049872
Alsóberecki,48.33906925,21.69849924493061
Alsódobsza,48.1804805,21.0003001
Alsógagy,48.4055345,21.022069310332093
Alsóregmec,48.4653024,21.6171608
Alsószuha,48.368308549999995,20.50887598924833
Alsótelekes,48.4165261,20.66177970853056
Alsóvadász,48.2407238,20.89607399166521
Alsózsolca,48.0733845,20.907641339303392
Arka,48.3562103,21.256808277226966
Arló,48.158063850000005,20.284756693989976
Arnót,48.15071855,20.874874834844647
Ároktő,47.736797949999996,20.945470263226255
Aszaló,48.2256199,20.9547736
Baktakék,48.3762276,21.026206427426636
Balajt,48.3293823,20.794090881375837
Bánhorváti,48.22513455,20.49452813811238
Bánréve,48.305874,20.360224022169582
Baskó,48.33109155,21.335839529489935
Becskeháza,48.52278405,20.82838786542259
Bekecs,48.1515919,21.1711437
Berente,48.239410649999996,20.671778079203982
Beret,48.34754635,21.019275082015795
Berzék,48.02592555,20.976751728894847
Bőcs,48.05072605,20.971716249020673
Bodroghalom,48.288490100000004,21.703826725120773
Bodrogkeresztúr,48.178274599999995,21.407335248099013
Bodrogkisfalud,48.1974313,21.421825493939664
Bodrogolaszi,48.27758945,21.51387694004805
